OG0001871	macromolecule glycosylation
OG0006749	ribosomal protein L24
OG0001573	transmembrane transporter activity
OG0000361	guanyl-nucleotide exchange factor activity
OG0004293	Tudor domain
OG0003197	MOB kinase activator-like
OG0000825	Citrate transporter
OG0004274	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
OG0003042	RNA methyltransferase, RsmD family
OG0007158	Ubiquitin-like protein involved in cytoplasm to vacuole transport (Cvt) and autophagic vesicle formation
OG0006839	Kinase-like
OG0001285	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
OG0004179	thiol-dependent ubiquitin-specific protease activity
OG0001465	High-affinity nickel-transport protein
OG0001378	Rab-GTPase-TBC domain
OG0004413	6-phosphofructo-2-kinase
OG0003897	ubiquitin-like protein ligase activity
OG0007374	gamma-tubulin complex localization
OG0000053	belongs to the protein kinase superfamily
OG0002150	Manganese-stabilising protein / photosystem II polypeptide
OG0000317	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
OG0002012	Diadenosine tetraphosphatase and related serine threonine protein phosphatases
OG0001824	Dihydrouridine synthase (Dus)
OG0004980	Mitogen-activated protein kinase kinase kinase
OG0002678	RNA processing
OG0004404	50S ribosome-binding GTPase
OG0006030	DNA ligase
OG0002193	Protein tyrosine kinase
OG0002858	S-adenosylmethionine mitochondrial carrier protein. Source PGD
OG0005752	Scaffold protein Nfu/NifU N terminal
OG0000453	isocitrate lyase activity
OG0006286	pectin acetylesterase activity
OG0000190	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
OG0004235	phosphatase activity
OG0001626	protein-cysteine S-palmitoyltransferase activity
OG0002975	Alpha-kinase family
OG0004900	E3 ubiquitin-protein ligase
OG0002268	Leucine carboxyl methyltransferase
OG0002970	DHHC palmitoyltransferase
OG0007255	imidazolonepropionase activity
OG0006894	26S proteasome subunit RPN7
OG0000139	N-acetylgalactosaminyltransferase 7
OG0002663	Belongs to the eukaryotic ribosomal protein eS7 family
OG0004682	Nin one binding (NOB1) Zn-ribbon family protein
OG0002263	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
OG0004943	prohibitin homologues
OG0001815	Sulfatase
OG0000009	Zinc finger, CCCH type
OG0003198	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
OG0003439	B9 domain-containing protein 2
OG0004950	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
OG0003883	Ran-binding domain
OG0005888	thiosulfate sulfurtransferase activity
OG0001642	alpha-1,4-glucan synthase activity
OG0000625	positive regulation of epithelial to mesenchymal transition
OG0001388	Aminotransferase class-V
OG0007289	Enoyl-CoA hydratase
OG0000307	acyl-CoA dehydrogenase
OG0002030	Fatty acid desaturase
OG0005723	Tumor suppressing subtransferable candidate 1
OG0007389	protein import into mitochondrial matrix
OG0003851	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
OG0005199	Dehydrogenase
OG0005151	Aminotransferase
OG0006436	calmodulin-dependent protein kinase activity
OG0004812	AAA domain (Cdc48 subfamily)
OG0006667	Zinc-binding dehydrogenase
OG0000920	myosin VI
OG0001631	ELMO domain-containing protein
OG0002054	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
OG0001479	Nucleotidyltransferase domain
OG0004441	COG2335, Secreted and surface protein containing fasciclin-like repeats
OG0002670	Anaphase-promoting complex subunit 11 RING-H2 finger
OG0005565	flagellar associated protein. Source PGD
OG0001222	serine threonine-protein kinase
OG0002405	endonuclease III
OG0000264	Alcohol dehydrogenase GroES-like domain
OG0002526	14-3-3 protein binding
OG0006922	Non-specific serine threonine protein kinase
OG0006882	Acyl CoA binding protein
OG0000520	acid phosphatase activity
OG0005996	helicase activity
OG0001629	RNA recognition motif
OG0006520	NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate
OG0001186	Hsp90 protein binding
OG0007349	Haloacid dehalogenase-like hydrolase
OG0003344	Bardet-Biedl syndrome 2
OG0000319	FKBP-type peptidyl-prolyl cis-trans isomerase
OG0004879	dodecanoyl-[acyl-carrier-protein] hydrolase activity
OG0006028	protein conserved in bacteria
OG0002086	Belongs to the nitrite and sulfite reductase 4Fe-4S domain family
OG0000478	heavy chain
OG0000360	peptidyl-arginine methylation, to symmetrical-dimethyl arginine
OG0000598	hemK methyltransferase family member 1
OG0004849	Solute carrier family 35 member F6
OG0001954	Prolyl 4-hydroxylase alpha subunit homologues.
OG0005545	beta-galactosidase
OG0003538	enzyme 5
OG0002599	Protein tyrosine kinase
OG0006396	E1-E2 ATPase
OG0001611	Haloacid dehalogenase-like hydrolase
OG0007208	peptidyl-lysine monomethylation
OG0005579	triosephosphate isomerase
OG0002493	Eukaryotic membrane protein family
OG0001635	Pfam:RRM_6
OG0004640	Maleate cis-trans isomerase
OG0003401	NUC156 family protein. Source PGD
OG0007539	Arp2/3 complex-mediated actin nucleation
OG0001061	PFAM regulator of chromosome condensation, RCC1
OG0006235	Responsible for synthesis of pseudouridine from uracil
OG0000244	NAD+ binding
OG0000166	Catalyzes the specific attachment of an amino acid to its cognate tRNA in a 2 step reaction the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA. When secreted, acts as a signaling molecule that induces immune response through the activation of monocyte macrophages
OG0000357	Belongs to the BI1 family
OG0002410	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
OG0001118	Primase homolog protein
OG0002874	Aldehyde dehydrogenase family
OG0006279	50S ribosomal protein L33
OG0003065	Belongs to the glycosyl hydrolase 43 family
OG0004793	pre-mRNA processing factor 3 (PRP3)
OG0000444	7TM diverse intracellular signalling
OG0000190	MAP kinase tyrosine/serine/threonine phosphatase activity
OG0007018	protein catabolic process
OG0007466	AarF domain-containing protein kinase
OG0004085	Rab geranylgeranyltransferase activity. It is involved in the biological process described with protein geranylgeranylation
OG0000036	Protein kinase domain
OG0005681	high-affinity nickel-transport family protein
OG0007174	3' exoribonuclease family, domain 2
OG0002372	Atlastin GTPase 2
OG0001150	SET and MYND domain containing 3
OG0004813	Phospholipase/Carboxylesterase
OG0005806	metallophosphoesterase
OG0004219	phosphoserine phosphatase
OG0001585	tRNA (Guanine-1)-methyltransferase
OG0000005	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0003841	RNA helicase
OG0006313	L-lactate permease
OG0004817	Splicing factor 3A subunit 2
OG0006108	NAD dependent epimerase/dehydratase family
OG0005941	aldo keto reductase
OG0000948	PFAM RNA binding S1 domain protein
OG0000422	Ribosomal protein L11 methyltransferase (PrmA)
OG0006670	Serine/Threonine protein kinases, catalytic domain
OG0001414	snRNP Sm proteins
OG0000015	helicase superfamily c-terminal domain
OG0000797	ATPase activity
OG0000631	Component of the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. During transcription elongation the FACT complex acts as a histone chaperone that both destabilizes and restores nucleosomal structure. It facilitates the passage of RNA polymerase II and transcription by promoting the dissociation of one histone H2A-H2B dimer from the nucleosome, then subsequently promotes the reestablishment of the nucleosome following the passage of RNA polymerase II
OG0006438	Peptidase family M28
OG0005470	cytokinin dehydrogenase activity
OG0004374	Kelch motif family protein. Source PGD
OG0006227	protein).. Source PGD
OG0001748	N,N-dimethylaniline monooxygenase activity
OG0006248	Phosphoesterase family
OG0005505	ubiE/COQ5 methyltransferase family
OG0002872	intracellular protein transport
OG0006249	Xylulose kinase
OG0000732	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
OG0006023	Ring finger domain
OG0000112	Calmodulin
OG0004390	Lysophospholipase-like protein 1
OG0004454	duf431 domain-containing protein
OG0002058	Glycosyl hydrolases family 28
OG0000137	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE
OG0005549	eukaryotic translation initiation factor 2alpha kinase activity
OG0006850	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
OG0006322	Carboxylesterase family
OG0002727	retrograde transport, endosome to Golgi
OG0003695	DNA synthesis involved in DNA repair
OG0005176	Source PGD
OG0000142	choline transmembrane transporter activity
OG0004260	purine and uridine phosphorylase
OG0000286	Belongs to the universal ribosomal protein uS15 family
OG0002863	GPN-loop GTPase 3
OG0004558	phytanoyl-CoA dioxygenase activity
OG0002315	Phosphoenolpyruvate phosphomutase
OG0005506	Tim10 DDP zinc finger domain-containing protein
OG0000917	Methyltransferase type 11
OG0004384	Cellulase (glycosyl hydrolase family 5)
OG0003585	Sodium hydrogen exchanger
OG0003455	Domain of unknown function (DUF1989)
OG0000126	Belongs to the heat shock protein 70 family
OG0002191	Belongs to the adaptor complexes small subunit family
OG0002665	Major facilitator superfamily
OG0004047	retrograde trans-synaptic signaling by lipid
OG0000083	Thrombospondin type 1 repeats
OG0003305	N,N-dimethylaniline monooxygenase activity
OG0007442	cAMP biosynthetic process
OG0000040	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction
OG0001411	COG3145 Alkylated DNA repair protein
OG0006072	Ubiquitinyl hydrolase 1
OG0000025	may modulate vesicle budding and uncoating within the Golgi apparatus. Involved in endoplasmic reticulum dynamics during embryogenesis. Also required for adult germline function
OG0000200	decanoate-CoA ligase activity
OG0000869	Glycosyl transferase 4-like
OG0001113	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
OG0005668	Splicing factor 1 helix-hairpin domain
OG0006742	Methyltransferase domain
OG0005198	Displays ATPase and GTPase activities
OG0002136	Belongs to the 14-3-3 family
OG0000014	serine threonine-protein phosphatase
OG0004798	Clusterin-associated protein-1
OG0005862	Family of unknown function (DUF572)
OG0000731	ubiquitin-like protein ligase activity
OG0000034	Helicase associated domain (HA2)  Add an annotation
OG0001194	4-aminobutyrate:pyruvate transaminase activity
OG0006364	Belongs to the peptidase M10A family
OG0001532	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0001923	Belongs to the small GTPase superfamily. SAR1 family
OG0005397	sequence-specific DNA binding
OG0000667	glutamine biosynthetic process
OG0007520	kinase activity
OG0002706	Prolyl 4-hydroxylase alpha subunit homologues.
OG0000058	CAP-Gly domain-containing linker protein
OG0001266	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
OG0004857	Enoyl-(Acyl carrier protein) reductase
OG0006804	Hormonally up-regulated neu tumor-associated
OG0000142	acetylcholine secretion
OG0007477	FAD dependent oxidoreductase
OG0005854	PPP5 TPR repeat region
OG0002388	aminomethyltransferase activity
OG0000830	Trehalose-6-phosphate synthase
OG0006002	UAA transporter family
OG0006691	ATPase MipZ
OG0000710	Saccharomyces cerevisiae YCR051W
OG0006626	A domain family that is part of the cupin metalloenzyme superfamily.
OG0004687	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
OG0007440	Microsomal signal peptidase 12 kDa subunit (SPC12)
OG0001231	Pheophorbide a oxygenase
OG0001651	cellular zinc ion homeostasis
OG0006245	regulation of axon guidance
OG0003557	GcpE protein
OG0004867	Tubulin tyrosine ligase-like family, member 11
OG0007464	inorganic diphosphatase activity
OG0001042	PUA-like domain
OG0006927	Domain with 2 conserved Trp (W) residues
OG0004763	protein maturation by iron-sulfur cluster transfer
OG0003879	Belongs to the thiolase family
OG0000049	DnaJ-class molecular chaperone with C-terminal Zn finger
OG0002597	Endonuclease/Exonuclease/phosphatase family
OG0003033	Glycosyltransferase
OG0001467	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
OG0004509	HIT zinc finger
OG0006308	Exostosin family
OG0006128	Hydrolase activity
OG0005871	Belongs to the bacterial ribosomal protein bL17 family
OG0003503	Ankyrin repeats (many copies)
OG0003986	Integral membrane protein S linking to the trans Golgi network
OG0007220	DUF1479 domain protein
OG0002926	response to abiotic stimulus
OG0000132	Carbonic anhydrase
OG0007101	Putative RNA methyltransferase
OG0006012	pseudouridine synthase activity
OG0000021	Lys63-specific deubiquitinase activity
OG0006180	NADH pyrophosphatase activity
OG0005029	FAD-binding domain
OG0004377	Outer envelope protein 61
OG0004992	DNA-dependent protein kinase catalytic
OG0005578	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0005074	Mitogen-activated protein kinase
OG0000974	Macrocin-O-methyltransferase (TylF)
OG0007178	Belongs to the DEAD box helicase family
OG0005313	Golgi to vacuole transport
OG0004959	UPF0126 domain
OG0002700	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine
OG0005891	short-chain dehydrogenase
OG0000918	Stabilizes the interaction between PsaC and the PSI core, assists the docking of the ferredoxin to PSI and interacts with ferredoxin-NADP oxidoreductase
OG0001635	Pre-mRNA-splicing factor
OG0000444	Histidine kinase-like ATPases
OG0001014	OTU-like cysteine protease
OG0004684	Belongs to the bacterial ribosomal protein bL28 family
OG0006762	nucleic acid binding
OG0000871	negative regulation of phosphatase activity
OG0002451	50s ribosomal protein L13
OG0006730	Glycosyl transferases group 1
OG0002338	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0000293	ribosomal small subunit assembly
OG0004130	oxidoreductase activity
OG0002072	Taurine catabolism dioxygenase TauD, TfdA family
OG0003988	Radical SAM superfamily
OG0003425	Mycolic acid cyclopropane synthetase
OG0007443	Serine threonine protein kinase
OG0005287	protein tyrosine/serine/threonine phosphatase activity
OG0007487	thiol-dependent ubiquitin-specific protease activity
OG0003057	Prolyl 4-hydroxylase alpha subunit homologues.
OG0004614	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0002174	guanosine-diphosphatase activity
OG0003894	protein folding
OG0000641	microtubule motor activity
OG0005401	NAD-dependent protein deacetylase
OG0003176	arsenical resistance protein ArsH
OG0000519	ATP citrate lyase citrate-binding
OG0000632	membrane protein-putative a permease
OG0000640	ABC transporter
OG0004266	Cationic amino acid transporter
OG0001511	E3 ubiquitin-protein ligase
OG0005403	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0004341	PFAM Elongation factor Tu domain 2
OG0000232	Ribonuclease B OB domain
OG0000033	DNA repair family protein
OG0000589	Glutathione S-transferase, C-terminal domain
OG0001444	BTB POZ domain-containing protein
OG0005657	RING-H2 zinc finger domain
OG0005438	Alpha/beta hydrolase family
OG0001990	Belongs to the eukaryotic ribosomal protein eS6 family
OG0006937	Rieske 2Fe-2S
OG0002065	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
OG0007089	ALBINO3-like protein 1
OG0003707	purine nucleosidase activity
OG0000629	Cupin-like domain
OG0000615	Ion transport protein
OG0005368	Chorismate synthase
OG0004082	VPS10
OG0000898	Ovarian tumor suppressor candidate 2
OG0003787	SET and MYND domain containing 3
OG0006908	Rhodanese Homology Domain
OG0000415	WD domain, G-beta repeat
OG0007227	tRNA wybutosine-synthesizing protein 5
OG0000338	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
OG0005687	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
OG0000858	thioredoxin-disulfide reductase activity
OG0000822	Calsequestrin
OG0004591	Belongs to the citrate synthase family
OG0001431	galactosyl transferase GMA12/MNN10 family
OG0000418	Belongs to the ubiquitin-conjugating enzyme family
OG0006427	At4g14100-like
OG0000012	ATP binding
OG0000296	Leucine rich repeat
OG0002559	pyruvate dehydrogenase (acetyl-transferring) kinase activity
OG0001342	ABC transporter F family member
OG0001039	mRNA processing
OG0003387	Purine nucleoside permease
OG0001839	Psort location Cytoplasmic, score 8.96
OG0000340	Glycosyl hydrolase family 20, domain 2
OG0005310	oxidation-reduction process
OG0006771	aldehyde dehydrogenase (NAD) activity
OG0004339	Phosphoserine aminotransferase
OG0001455	B-1 B cell differentiation
OG0005039	voltage-gated chloride channel activity
OG0003040	Phosphopantetheine attachment site
OG0005230	PspA/IM30 family
OG0004425	helicase activity
OG0003230	Glycosyltransferase (GlcNAc)
OG0005314	Saccharomyces cerevisiae YMR244ca
OG0004890	Chlorophyll A-B binding protein
OG0002112	Sel1-like repeats.
OG0000706	III protein, CoA-transferase family
OG0005866	Protein mrp homolog
OG0000978	Belongs to the glycosyl hydrolase 3 family
OG0007569	habituation
OG0006351	Aldehyde dehydrogenase family
OG0007665	Belongs to the DEAD box helicase family
OG0006663	Catalyzes the 2'-O methylation of guanosine at position 18 in tRNA
OG0001272	methyltransferase activity
OG0004344	calcium:sodium antiporter activity
OG0003350	Belongs to the BI1 family
OG0001386	alanine aminotransferase
OG0003881	pantoate-beta-alanine ligase activity
OG0000873	Wu fj29h11
OG0003152	COG0564 Pseudouridylate synthases, 23S RNA-specific
OG0002255	Phosphodiesterase 4A
OG0006206	EF-hand domain pair
OG0000545	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
OG0003226	Leucine-rich repeats, outliers
OG0002978	pyrimidine dimer repair by nucleotide-excision repair
OG0006387	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane. SRP9 together with SRP14 and the Alu portion of the SRP RNA, constitutes the elongation arrest domain of SRP. The complex of SRP9 and SRP14 is required for SRP RNA binding
OG0007043	palmitoyl-(protein) hydrolase activity
OG0005947	Beige/BEACH domain
OG0003908	CCCH-type zinc fingerfamily protein with RNA-binding domain
OG0005849	mitochondrial
OG0002075	regulation of cardiac conduction
OG0001737	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
OG0003550	Peptidase family M41
OG0001434	fructosamine metabolic process
OG0000931	metaphase/anaphase transition of mitotic cell cycle
OG0002857	Integral membrane protein TerC family
OG0006027	linker between RRM2 and RRM3 domains in RBM39 protein
OG0007151	isovaleryl-CoA dehydrogenase activity
OG0001917	lipid catabolic process
OG0003690	oxygen homeostasis
OG0000822	Protein disulfide isomerase family A member 4
OG0003158	Macro domain
OG0006155	Lytic transglycolase
OG0002640	PA domain
OG0002460	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
OG0003019	carboxylase
OG0007138	Phosphoglycerate mutase family
OG0006164	Enoyl-(Acyl carrier protein) reductase
OG0000349	Prolyl 4-hydroxylase alpha subunit homologues.
OG0004516	NEDD4 binding protein 2-like 1
OG0000402	nucleic acid binding
OG0006800	oxidation-reduction process
OG0005389	Acyl-coenzyme A thioesterase 9
OG0003711	short chain dehydrogenase
OG0003396	Protein of unknown function (DUF778)
OG0005266	Serine threonine-protein kinase Nek6
OG0004619	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
OG0001205	negative regulation of mRNA splicing, via spliceosome
OG0006380	Catechol O-methyltransferase
OG0002441	Belongs to the glycosyl hydrolase 5 (cellulase A) family
OG0005513	Belongs to the thioredoxin family
OG0006303	RED-like protein N-terminal region
OG0000171	glycosylceramidase activity
OG0000166	lysyl-tRNA synthetase
OG0001472	Sec23/Sec24 beta-sandwich domain
