OG0000847	PFAM short chain dehydrogenase
OG0002109	Helicase and polymerase-containing protein
OG0004024	adenylate kinase
OG0000148	ATPase activity, coupled to transmembrane movement of substances
OG0001653	assists the folding of proteins upon ATP hydrolysis
OG0001552	protein tyrosine/serine/threonine phosphatase activity
OG0005171	Belongs to the protein kinase superfamily
OG0007658	Diacylglycerol kinase catalytic domain (presumed)
OG0000598	ADP-ribosylglycohydrolase
OG0001893	Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
OG0010021	Protein phosphatase PTC7 homolog
OG0002955	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
OG0004765	Protein N-lysine methyltransferase
OG0004764	RNA uridylyltransferase activity
OG0000451	Lipase (class 3)
OG0007612	mitogen-activated protein kinase
OG0001249	ribosomal protein
OG0000647	cytoplasmic translation
OG0000711	Protein tyrosine kinase
OG0006323	Hemimethylated DNA-binding protein YccV like
OG0002320	LSM domain
OG0000158	Ribonucleoside-diphosphate reductase small chain
OG0002156	Pre-mRNA splicing factor PRP21 like protein
OG0000522	ribosomal protein L5
OG0001434	Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily
OG0004775	vesicle fusion with Golgi apparatus
OG0002756	Cytochrome C
OG0000811	1,4-alpha-glucan branching enzyme activity
OG0008482	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs
OG0000429	protein-cysteine S-palmitoyltransferase activity
OG0009863	Belongs to the protein kinase superfamily
OG0000793	Calcium calmodulin-dependent protein kinase
OG0007401	NAD:arginine ADP-ribosyltransferase
OG0004349	phosphatidylethanolamine metabolic process
OG0006291	Presequence protease 1, chloroplastic mitochondrial-like
OG0000421	Belongs to the pyruvate kinase family
OG0002037	Ubiquitin elongating factor core
OG0008422	Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway
OG0000328	Ribosomal protein L13
OG0007899	Flavin containing amine oxidoreductase
OG0009640	metallo-beta-lactamase domain protein
OG0004983	fucoxanthin chlorophyll a c protein
OG0000594	Nitronate monooxygenase
OG0001030	C-type lectin domain family 16, member A
OG0005211	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
OG0005765	DNA-(apurinic or apyrimidinic site) lyase
OG0004606	glycyl-tRNA aminoacylation
OG0001083	PFAM photosystem I reaction centre, subunit XI
OG0003179	RING-like zinc finger
OG0002942	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
OG0000024	angiogenesis
OG0000651	RNA recognition motif
OG0002414	phosphatase with dual specificity toward Ser Thr and Tyr-containing proteins
OG0005855	phosphoacetylglucosamine mutase activity
OG0005923	belongs to the protein kinase superfamily
OG0001875	Mediator of ErbB2-driven cell motility (Memo), related (InterPro IPR002737)
OG0005565	RING-H2 zinc finger domain
OG0002413	50s ribosomal protein L13
OG0009274	axoneme assembly
OG0001143	Regulator of chromosome condensation (RCC1) repeat
OG0003807	Uncharacterised protein family (UPF0203)
OG0000131	Belongs to the universal ribosomal protein uS8 family
OG0001105	Interferon-inducible GTPase
OG0007657	sperm chromatin condensation
OG0006641	Adenylyl- / guanylyl cyclase, catalytic domain
OG0000736	Receptor homology region, transmembrane domain- and RING domain-containing protein
OG0007247	EF-hand domain
OG0000693	Cold shock protein
OG0001077	intracellular protein transport
OG0000820	transferase activity, transferring hexosyl groups
OG0001156	Manganese-stabilising protein / photosystem II polypeptide
OG0005255	Phosphatidate cytidylyltransferase. Source PGD
OG0000738	peroxiredoxin activity
OG0001486	Xylose isomerase-like
OG0001279	TTK protein kinase
OG0002518	Periodic tryptophan protein 1 homolog
OG0007838	protein K48-linked deubiquitination
OG0006516	Oxidoreductase family, C-terminal alpha/beta domain
OG0000484	protein polyglycylation
OG0001190	DnaJ C terminal domain
OG0007005	inner dynein arm assembly
OG0006876	Belongs to the thiolase family
OG0000282	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties
OG0002333	ABC transporter transmembrane region 2
OG0001918	Belongs to the heat shock protein 70 family
OG0007533	apoptotic process
OG0006923	Peptidase family M48
OG0002789	EF-hand domain
OG0000806	pyruvate dehydrogenase (acetyl-transferring) kinase activity
OG0006075	Ring finger domain
OG0000112	Cytochrome C and Quinol oxidase polypeptide I
OG0000003	Stromal 70 kDa heat shock-related protein
OG0009421	riboflavin transmembrane transporter activity
OG0008498	DNA photolyase activity
OG0008283	Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate
OG0002765	Protein tyrosine phosphatase type IVA protein 1. Source PGD
OG0001412	assists the folding of proteins upon ATP hydrolysis
OG0008216	Protein of unknown function (DUF1349)
OG0002039	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
OG0002847	COG0604 NADPH quinone reductase and related Zn-dependent oxidoreductases
OG0009937	Oxidoreductase family, NAD-binding Rossmann fold
OG0000880	Protein tyrosine kinase
OG0000234	NAD-dependent protein deacetylase, which deacetylates internal lysines on histone and alpha-tubulin as well as many other proteins such as key transcription factors. Participates in the modulation of multiple and diverse biological processes such as cell cycle control, genomic integrity, microtubule dynamics, cell differentiation, metabolic networks, and autophagy. Plays a major role in the control of cell cycle progression and genomic stability. Functions in the antephase checkpoint preventing precocious mitotic entry in response to microtubule stress agents, and hence allowing proper inheritance of chromosomes. Positively regulates the anaphase promoting complex cyclosome (APC C) ubiquitin ligase complex activity by deacetylating CDC20 and FZR1, then allowing progression through mitosis. Associates both with chromatin at transcriptional start sites (TSSs) and enhancers of active genes. Plays a role in cell cycle and chromatin compaction through epigenetic modulation of the regulation of histone H4 'Lys-20' methylation (H4K20me1) during early mitosis. Specifically deacetylates histone H4 at 'Lys-16' (H4K16ac) between the G2 M transition and metaphase enabling H4K20me1 deposition by KMT5A leading to ulterior levels of H4K20me2 and H4K20me3 deposition throughout cell cycle, and mitotic S-phase progression. Deacetylates KMT5A modulating KMT5A chromatin localization during the mitotic stress response. Deacetylates also histone H3 at 'Lys- 57' (H3K56ac) during the mitotic G2 M transition. During oocyte meiosis progression, may deacetylate histone H4 at 'Lys-16' (H4K16ac) and alpha-tubulin, regulating spindle assembly and chromosome alignment by influencing microtubule dynamics and kinetochore function. Deacetylates histone H4 at 'Lys-16' (H4K16ac) at the VEGFA promoter and thereby contributes to regulate expression of VEGFA, a key regulator of angiogenesis. Deacetylates alpha-tubulin at 'Lys-40' and hence controls neuronal motility, oligodendroglial cell arbor projection processes and proliferation of non-neuronal cells. Phosphorylation at Ser-368 by a G1 S-specific cyclin E-CDK2 complex inactivates SIRT2-mediated alpha-tubulin deacetylation, negatively regulating cell adhesion, cell migration and neurite outgrowth during neuronal differentiation. Deacetylates PARD3 and participates in the regulation of Schwann cell peripheral myelination formation during early postnatal development and during postinjury remyelination. Involved in several cellular metabolic pathways. Plays a role in the regulation of blood glucose homeostasis by deacetylating and stabilizing phosphoenolpyruvate carboxykinase PCK1 activity in response to low nutrient availability. Acts as a key regulator in the pentose phosphate pathway (PPP) by deacetylating and activating the glucose-6-phosphate G6PD enzyme, and therefore, stimulates the production of cytosolic NADPH to counteract oxidative damage. Maintains energy homeostasis in response to nutrient deprivation as well as energy expenditure by inhibiting adipogenesis and promoting lipolysis. Attenuates adipocyte differentiation by deacetylating and promoting FOXO1 interaction to PPARG and subsequent repression of PPARG-dependent transcriptional activity. Plays a role in the regulation of lysosome-mediated degradation of protein aggregates by autophagy in neuronal cells. Deacetylates FOXO1 in response to oxidative stress or serum deprivation, thereby negatively regulating FOXO1- mediated autophagy (By similarity). Deacetylates a broad range of transcription factors and co-regulators regulating target gene expression. Deacetylates transcriptional factor FOXO3 stimulating the ubiquitin ligase SCF(SKP2)-mediated FOXO3 ubiquitination and degradation (By similarity). Deacetylates HIF1A and therefore promotes HIF1A degradation and inhibition of HIF1A transcriptional activity in tumor cells in response to hypoxia. Deacetylates RELA in the cytoplasm inhibiting NF-kappaB-dependent transcription activation upon TNF-alpha stimulation. Inhibits transcriptional activation by deacetylating p53 TP53 and EP300. Deacetylates also EIF5A. Functions as a negative regulator on oxidative stress- tolerance in response to anoxia-reoxygenation conditions. Plays a role as tumor suppressor
OG0004372	WD40 repeats
OG0004338	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
OG0003454	Inosine-5'-monophosphate dehydrogenase. Source PGD
OG0001949	DNA photolyase
OG0000064	nicotinamide phosphoribosyltransferase activity
OG0002106	actin rod assembly
OG0006822	Methyltransferase domain
OG0009746	Adenylate and Guanylate cyclase catalytic domain
OG0004890	Calcium-dependent protein kinase
OG0007233	tetratricopeptide repeat
OG0002396	aldose 1-epimerase activity
OG0000231	CAP_GLY
OG0002873	Microtubule-binding stalk of dynein motor
OG0002576	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
OG0004941	oxidation-reduction process
OG0009122	Domain of unknown function (DUF1768)
OG0000636	Rieske [2Fe-2S] domain
OG0003087	Belongs to the acyl-CoA oxidase family
OG0004705	Lumazine binding domain
OG0002029	decarboxylase
OG0002078	regulation of cardiac conduction
OG0005681	Haloacid dehalogenase-like hydrolase
OG0008443	alpha/beta hydrolase fold
OG0001587	Adaptor complexes medium subunit family
OG0001934	ubiE/COQ5 methyltransferase family
OG0009375	to the hyi family
OG0002740	Kinase/pyrophosphorylase
OG0004710	Bacterial extracellular solute-binding proteins, family 5 Middle
OG0002639	phosphodiesterase 9A
OG0000615	calmodulin-dependent protein kinase activity
OG0008298	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding
OG0000087	structural constituent of cytoskeleton
OG0003798	COG0659 Sulfate permease and related transporters (MFS superfamily
OG0008198	Radical SAM superfamily
OG0005030	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0003266	Cactin, spliceosome C complex subunit
OG0008796	Peptidase family C69
OG0000138	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
OG0003780	Acetyltransferase (GNAT) domain
OG0002464	protein serine/threonine kinase activity
OG0002469	Binds to single and double-stranded DNA and exhibits DNA-dependent ATPase activity. Underwinds duplex DNA
OG0000417	Protein kinase domain containing protein
OG0002725	peptide-aspartate beta-dioxygenase activity
OG0007309	NLI interacting factor-like phosphatase family protein
OG0007105	Uncharacterised protein family (UPF0014)
OG0009503	peptidyl-prolyl cis-trans isomerase activity
OG0006712	calcium ion binding
OG0001390	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
OG0006775	Ankyrin repeats (many copies)
OG0001188	RNA recognition motif
OG0003148	RING-like zinc finger
OG0003534	Ras family
OG0001922	guanyl-nucleotide exchange factor activity
OG0004608	Fatty acid desaturase 2
OG0006653	ligase 1
OG0001299	essential for photochemical activity. FB is the terminal electron acceptor of PSI, donating electrons to ferredoxin. The C-terminus interacts with PsaA B D and helps assemble the protein into the PSI complex. Required for binding of PsaD and PsaE to PSI. PSI is a plastocyanin cytochrome c6- ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn
OG0000516	56kDa selenium binding protein (SBP56)
OG0003322	nucleic acid binding
OG0000550	Vacuolar-processing enzyme. Source PGD
OG0001396	Trichohyalin-plectin-homology domain
OG0005728	Belongs to the GMC oxidoreductase family
OG0000932	alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
OG0006554	Aminotransferase class-V
OG0007251	meiotic DNA double-strand break processing
OG0002449	Protein phosphatase 2C
OG0006380	zinc ion binding
OG0002105	Inorganic anion exchanger activity. It is involved in the biological process described with anion transport
OG0008978	phosphoesterases, related to the Icc protein
OG0007774	HD domain
OG0004730	small-subunit processome assembly
OG0003569	Glycosyl transferase family 2
OG0005963	Belongs to the mitochondrial carrier (TC 2.A.29) family
OG0002491	Mitogen-activated protein kinase kinase kinase
OG0010014	Component of the cap-binding complex (CBC), which binds co-transcriptionally to the 5' cap of pre-mRNAs and is involved in various processes such as pre-mRNA splicing and RNA-mediated gene silencing (RNAi). The CBC complex is involved in miRNA-mediated RNA interference and is required for primary microRNAs (miRNAs) processing. In the CBC complex, ncbp-2 recognizes and binds capped RNAs (m7GpppG-capped RNA) but requires ncbp-1 to stabilize the movement of its N-terminal loop and lock the CBC into a high affinity cap-binding state with the cap structure
OG0005026	pfkB family carbohydrate kinase
OG0007810	phosphatase activator activity
OG0005078	DnaJ molecular chaperone homology domain
OG0002242	Interferon-inducible GTPase
OG0000984	PFAM Peptidase S49 domain protein
OG0000319	Serine/Threonine protein kinases, catalytic domain
OG0009221	Saccharomyces cerevisiae YMR244ca
OG0001398	ER lumen protein retaining receptor
OG0008476	protein heterodimerization activity
OG0000172	minichromosome  maintenance proteins
OG0001585	Chlorophyll A-B binding protein
OG0009860	YIF1
OG0009497	Belongs to the aconitase IPM isomerase family
OG0000561	mitogen-activated protein kinase
OG0008840	homoserine dehydrogenase
OG0009652	Peptidyl-prolyl cis-trans isomerase
OG0002685	Cytochrome b5
OG0007602	Nuclear inhibitor of protein
OG0005915	Pfam:zf-DHHC
OG0005325	Belongs to the NiCoT transporter (TC 2.A.52) family
OG0001497	integrin-mediated signaling pathway
OG0000686	ATP-binding cassette sub-family D
OG0003306	glutathione transferase activity
OG0005745	Ribulose-phosphate 3-epimerase. Source PGD
OG0006065	Exosome complex component RRP46
OG0003121	Permease
OG0003667	DNA polymerase delta small
OG0000401	Belongs to the AAA ATPase family
OG0003550	helicase activity
OG0008165	nucleolar chromatin organization
OG0001891	N-terminal conserved domain of Nudc.
OG0000319	protein serine/threonine kinase activity
OG0008731	uroporphyrinogen decarboxylase activity
OG0000900	RNA recognition motif 2 family protein
OG0005886	Glutathione S-transferase, N-terminal domain
OG0000448	protein kinase activity
OG0001628	serine threonine protein kinase
OG0000111	Cold shock protein
OG0003826	helicase activity
OG0001958	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
OG0004419	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0009462	pyrimidine nucleotide-sugar transmembrane transporter activity
OG0008148	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
OG0001823	Beta-hexosaminidase
OG0002587	beta-N-acetylhexosaminidase activity. It is involved in the biological process described with carbohydrate metabolic process
OG0006103	Belongs to the actin family
OG0000756	GTP binding
OG0001112	flavin adenine dinucleotide binding
OG0006738	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding
OG0008695	TatD related DNase
OG0002236	Belongs to the enoyl-CoA hydratase isomerase family
OG0009757	palmitoyl-(protein) hydrolase activity
OG0002200	COG0475 Kef-type K transport systems, membrane components
OG0008973	Protein tyrosine kinase
OG0000752	Belongs to the peroxidase family
OG0003662	Cation efflux family
OG0008900	Heat shock chaperonin-binding motif.
OG0002230	glutathione transferase activity
OG0000991	malate quinone oxidoreductase
OG0001076	Aldo/keto reductase family
OG0004746	telomeric repeat-containing RNA binding
OG0008869	Cytochrome b5
OG0004878	translation initiation
OG0002475	zinc finger (CCCH type)
OG0002753	Lipopolysaccharide kinase (Kdo/WaaP) family
OG0009994	Reversible hydration of carbon dioxide
OG0001297	glutamyl-tRNA reductase activity
OG0004562	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
OG0004537	N2227
OG0001802	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
OG0000131	structural constituent of ribosome
OG0000785	oxidoreductase activity, acting on diphenols and related substances as donors
OG0002849	C-terminal to LisH motif.
OG0001485	O-methyltransferase activity
OG0005367	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8
OG0004117	Poly(ADP-ribose) polymerase catalytic domain
OG0007319	exoribonuclease II activity
OG0006582	protein-cysteine S-palmitoyltransferase activity
OG0002649	Short-chain dehydrogenase reductase sdr
OG0007161	Belongs to the VPS29 family
OG0008935	Belongs to the protein disulfide isomerase family
OG0005308	regulation of intraciliary retrograde transport
OG0003710	-
OG0007512	Adp-ribosylation factor
OG0000017	ATPase activity, coupled to transmembrane movement of substances
OG0009766	rRNA processing
OG0002591	HSPB1-associated protein 1
OG0010176	cAMP-dependent protein kinase activity
OG0005928	Subunits I, II and III form the functional core of the enzyme complex
OG0002844	DNA mismatch repair protein
OG0002417	Golgi calcium ion transport
OG0005756	endosomal protein p24b
OG0002510	alpha-galactosidase
OG0004457	Peptide-methionine (R)-S-oxide reductase
OG0007157	Non-specific serine threonine protein kinase
OG0005298	protein disulfide oxidoreductase activity
OG0010012	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
OG0006271	oxidation-reduction process
OG0000329	ATPase family associated with various cellular activities (AAA)
OG0010145	4'-phosphopantetheinyl transferase superfamily
OG0000065	Bifunctional enolase 2 transcriptional
OG0008806	SAM domain (Sterile alpha motif)
OG0000007	synthase
OG0000015	helicase superfamily c-terminal domain
OG0002634	U1-like zinc finger
OG0006590	protease
OG0009483	Domain of unknown function (DUF3449)
OG0009278	ATPases associated with a variety of cellular activities
OG0006278	Glycosyl hydrolases family 16
OG0001770	methenyltetrahydrofolate cyclohydrolase activity
OG0005736	ApaG domain
OG0007084	Belongs to the ubiquitin-conjugating enzyme family
OG0000097	Mortierella verticillata NRRL 6337 phosphoenolpyruvate carboxykinase (ATP)
OG0008408	serine-type carboxypeptidase activity
OG0001493	D-Tyr-tRNA(Tyr) deacylase
OG0007070	2OG-Fe(II) oxygenase superfamily
OG0000603	Belongs to the glycosyl hydrolase 13 family
OG0003655	cilium assembly
OG0000298	eRF1_1
OG0003424	Solute carrier family 35
OG0000461	NAD-dependent histone deacetylase activity (H3-K18 specific)
OG0002177	Scd6-like Sm domain
OG0007303	DEAD-box ATP-dependent RNA helicase
OG0006044	Belongs to the DEAD box helicase family
OG0001821	RNA binding
OG0002437	Hinge domain of cleavage stimulation factor subunit 2
OG0000958	Non-specific serine threonine protein kinase
OG0000148	ABC transporter A family member
OG0001221	serine threonine-protein kinase
OG0001750	SMP-30/Gluconolaconase/LRE-like region
OG0002464	Serine/Threonine protein kinases, catalytic domain
OG0000590	Protochlorophyllide reductase
OG0000331	-
OG0008003	COG0318 Acyl-CoA synthetases (AMP-forming) AMP-acid ligases II
OG0000803	methenyltetrahydrofolate cyclohydrolase activity
OG0000539	transporter antisigma-factor antagonist STAS
OG0008138	GTP-binding protein
OG0000900	RNA-binding protein mei2 homologue
OG0000429	palmitoyltransferase
OG0002674	Peptidyl-prolyl cis-trans isomerase
OG0002393	thiol-disulfide oxidoreductase
OG0004588	ATP- binding
OG0001943	nitrile biosynthetic process
OG0000159	N-terminal domain of 16S rRNA methyltransferase RsmF
OG0000814	Mediates zinc uptake. May also transport other divalent cations
OG0003850	chromosome passenger complex localization to kinetochore
OG0002341	peptidase activity
OG0000015	Belongs to the DEAD box helicase family
OG0006866	Lipopolysaccharide kinase (Kdo/WaaP) family
OG0005784	cysteine-type endopeptidase activity
OG0005126	Endonuclease V
OG0008568	DnaJ protein homolog
OG0005638	Vacuolar protein sorting-associated protein 26
OG0002445	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay
OG0006545	nucleic acid binding
OG0005174	Belongs to the short-chain dehydrogenases reductases (SDR) family
OG0004299	VDE lipocalin domain
OG0002654	Toprim domain
OG0001173	homoserine dehydrogenase activity
OG0000911	Belongs to the universal ribosomal protein uL1 family
OG0005314	nucleotide exchange factor
OG0002265	RNA binding motif
OG0008624	ubiE/COQ5 methyltransferase family
OG0004162	Trafficking protein particle complex subunit
OG0009075	Protein tyrosine kinase
OG0001849	oxygen carrier activity
OG0000686	ABC transporter transmembrane region 2
OG0001258	SNF2 family N-terminal domain
OG0003681	Solute carrier family 35 member
OG0008749	Methyltransferase domain
OG0000499	Amino acid adenylation domain
OG0000065	Enolase 2 (gamma, neuronal)
OG0003124	Tubulin tyrosine
OG0000134	ubiquitin-protein transferase activity
OG0009290	short chain dehydrogenase
OG0000806	Pyruvate dehydrogenase kinase
OG0000017	peptide antigen-transporting ATPase activity
OG0000188	ciliary receptor clustering involved in smoothened signaling pathway
OG0009413	Histone deacetylase complex subunit
OG0001365	Developmentally regulated
OG0000155	Peptidyl-prolyl cis-trans isomerase
OG0005761	DNA replication
OG0001723	Pheophorbide a oxygenase
OG0000189	GTPase activity
OG0007222	PLD-like domain
OG0002021	Belongs to the peptidase C19 family
OG0009918	craniofacial suture morphogenesis
OG0003143	Cytidylyltransferase-like
OG0009936	Helicase conserved C-terminal domain containing protein
OG0000427	Citrate transporter
OG0004034	Belongs to the universal ribosomal protein uS19 family
OG0002798	exodeoxyribonuclease I activity
OG0005073	Acid phosphatase homologues
