Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum58849	Converts the preformed base xanthine, a product of nucleic acid breakdown, to xanthosine 5'-monophosphate (XMP), so it can be reused for RNA or DNA synthesis
Breviolum71902	RNA pseudouridylate synthase
Breviolum34017	hsp70-Hsp90 organizing protein
Breviolum86422	Phosphofructokinase
Breviolum286125	o-methyltransferase
Breviolum98782	cellular zinc ion homeostasis
Breviolum172602	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)
Breviolum37836	Ubiquitin elongating factor core
Breviolum138327	rRNA-processing protein fcf2-like
Breviolum42501	Germ cell-less protein-like 1-like
Breviolum61454	ATP-dependent RNA helicase
Breviolum209883	Carboxylesterase family
Breviolum82417	Binds to proline rich sequences in various regulatory formin-like proteins and also to membrane phospholipids. Binds to actin and affects the structure of the cytoskeleton
Breviolum32021	positive regulation of epithelial to mesenchymal transition
Breviolum80399	Helicase and polymerase-containing protein
Breviolum158556	Ion transport protein
Breviolum64422	Chlorophyll A-B binding protein
Breviolum54055	Catalytic subunit of the tRNA-splicing ligase complex that acts by directly joining spliced tRNA halves to mature-sized tRNAs by incorporating the precursor-derived splice junction phosphate into the mature tRNA as a canonical 3',5'- phosphodiester. May act as
Breviolum139797	assists the folding of proteins upon ATP hydrolysis
Breviolum91275	secondary active sulfate transmembrane transporter activity
Breviolum158199	phosphopantetheine binding
Breviolum274500	prohibitin homologues
Breviolum45073	Signal recognition particle
Breviolum45467	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum277516	PFAM ATP-binding region, ATPase domain protein
Breviolum23055	Rhomboid-like protein
Breviolum210613	Glycolipid 2-alpha-mannosyltransferase
Breviolum59765	protein tyrosine/serine/threonine phosphatase activity
Breviolum79206	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum56451	Desumoylating isopeptidase
Breviolum175443	Aldo/keto reductase family
Breviolum156209	Calcium-dependent protein kinase
Breviolum16079	4'-phosphopantetheinyl transferase superfamily
Breviolum123854	Chlorophyll A-B binding protein
Breviolum82441	cysteine desulfurase activity
Breviolum69936	116 kDa U5 small nuclear ribonucleoprotein component N-terminus
Breviolum77165	Phosphoribosyl-ATP
Breviolum105749	ATPase activity, coupled to transmembrane movement of substances
Breviolum46194	Histone H3
Breviolum243350	peptide-methionine (R)-S-oxide reductase activity
Breviolum89747	Ubiquitin-transferase domain-containing protein
Breviolum49539	Thylakoid lumenal 15.0 kDa protein 2
Breviolum64889	Methyltransferase domain
Breviolum248306	Phosphoribosylglycinamide synthetase, C domain
Breviolum242659	Alg9-like mannosyltransferase family
Breviolum207750	Golgi to vacuole transport
Breviolum249976	Belongs to the protein kinase superfamily
Breviolum94879	Catalyzes the NAD( )-dependent oxidation of L-threonine to 2-amino-3-ketobutyrate
Breviolum39849	Protein of unknown function
Breviolum243058	Belongs to the phosphofructokinase type A (PFKA) family. PPi-dependent PFK group II subfamily. Atypical ATP- dependent clade X sub-subfamily
Breviolum207105	glutamine metabolic process
Breviolum205961	DNA binding
Breviolum104847	Peptidyl-prolyl cis-trans
Breviolum58973	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
Breviolum2716	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Breviolum155148	Protein tyrosine kinase
Breviolum82007	PFAM UBA THIF-type NAD FAD binding protein
Breviolum145407	Circularly permuted ATP-grasp type 2
Breviolum27908	calmodulin-dependent protein kinase activity
Breviolum40851	NAD-dependent histone deacetylase activity (H3-K18 specific)
Breviolum88341	Diacylglycerol kinase
Breviolum18942	Protein kinase domain
Breviolum143083	PolyA polymerase
Breviolum57051	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
Breviolum65672	GTP-binding protein
Breviolum40713	RNA pseudouridylate synthase
Breviolum209069	regulation of endocannabinoid signaling pathway
Breviolum16293	PPPDE putative peptidase domain
Breviolum54489	SMP-30/Gluconolaconase/LRE-like region
Breviolum74017	stress-induced mitochondrial fusion
Breviolum28753	2-acylglycerol O-acyltransferase activity
Breviolum79399	palmitoyl-(protein) hydrolase activity
Breviolum158036	Retinal pigment epithelial membrane protein
Breviolum84714	P450 NADPH--P450 reductase
Breviolum239848	Pfam 01975 MraW methylase family Members of this family are probably SAM dependent methyltransferases based on Swiss P18595 1 . This family appears to be related to Methyltransf_3 pfam 01596
Breviolum205216	cysteine-type peptidase activity
Breviolum57006	AAA domain (dynein-related subfamily)
Breviolum17418	Domain of unknown function (DUF1949)
Breviolum239641	protein folding in endoplasmic reticulum
Breviolum58184	PPPDE putative peptidase domain
Breviolum157776	Zinc finger DHHC domain-containing protein
Breviolum142734	EF-1 guanine nucleotide exchange domain
Breviolum82576	COG5285 Protein involved in biosynthesis of mitomycin antibiotics polyketide fumonisin
Breviolum57814	E3 ubiquitin-protein ligase
Breviolum174570	proton export across plasma membrane
Breviolum60283	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Breviolum216004	Belongs to the eukaryotic ribosomal protein eL15 family
Breviolum53248	Belongs to the ubiquitin-conjugating enzyme family
Breviolum48870	peptidyl-prolyl cis-trans isomerase activity
Breviolum17464	Modified RING finger domain
Breviolum18918	Glyoxalase domain containing 4
Breviolum73882	Zinc finger, C3HC4 type (RING finger)
Breviolum91437	phosphomannomutase activity
Breviolum108320	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Breviolum30433	DNA annealing helicase and endonuclease
Breviolum20449	myotome development
Breviolum110654	SUMO1 sentrin SMT3 specific peptidase 2
Breviolum90484	Beta-ketoacyl synthase
Breviolum79435	Ulp1 protease family, C-terminal catalytic domain
Breviolum272251	aldehyde dehydrogenase (NAD) activity
Breviolum146566	Leucine carboxyl methyltransferase
Breviolum138955	ATP-binding cassette, sub-family C (CFTR MRP), member
Breviolum71007	Methyltransferase type 11
Breviolum123499	MIR domain protein
Breviolum61497	Cytidylyltransferase-like
Breviolum69519	Si ch211-127i16.2
Breviolum144788	Sigma factor PP2C-like phosphatases
Breviolum131486	Lysine methyltransferase
Breviolum174159	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Breviolum204931	calcium-dependent cysteine-type endopeptidase activity
Breviolum94053	Sequestosome 1
Breviolum92024	Bystin family U3 and U14 snoRNA associated protein
Breviolum75907	calcium-dependent cysteine-type endopeptidase activity
Breviolum54990	Serine/Threonine protein kinases, catalytic domain
Breviolum211300	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Breviolum82490	UTP--glucose-1-phosphate uridylyltransferase
Breviolum117123	RNA binding motif protein 17
Breviolum212147	MazG-like family
Breviolum14422	peptidyl-prolyl cis-trans isomerase activity
Breviolum140300	cGMP-dependent protein kinase
Breviolum156761	Belongs to the glycosyl hydrolase 1 family
Breviolum136627	NPL4 family, putative zinc binding region
Breviolum82754	-
Breviolum156559	DNA photolyase activity
Breviolum238419	Calcium-binding protein
Breviolum184384	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum101406	Belongs to the DEAD box helicase family
Breviolum103044	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Breviolum107082	Exonuclease domain-containing protein
Breviolum136283	anthranilate synthase activity
Breviolum247045	Protein tyrosine kinase
Breviolum56804	serine-type endopeptidase activity
Breviolum116269	U1-like zinc finger
Breviolum61858	Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate
Breviolum106193	UMP salvage
Breviolum306666	Belongs to the GMC oxidoreductase family
Breviolum209957	Belongs to the ubiquitin-conjugating enzyme family
Breviolum40212	protein tyrosine/serine/threonine phosphatase activity
Breviolum290778	ATP-dependent RNA helicase
Breviolum205118	Prolyl 4-hydroxylase alpha subunit homologues.
Breviolum237974	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Breviolum156448	Belongs to the universal ribosomal protein uL11 family
Breviolum100977	ribosomal protein
Breviolum238548	Glutaredoxin 3
Breviolum133740	Ubiquitin carboxyl-terminal hydrolase
Breviolum76526	EF-hand domain
Breviolum60419	von Willebrand factor (vWF) type A domain
Breviolum66220	serine-type carboxypeptidase activity
Breviolum271720	PFAM Aspartate ornithine carbamoyltransferase, carbamoyl-P binding
Breviolum20023	TIGRFAM channel protein, hemolysin III family
Breviolum274829	Methyltransferase domain
Breviolum5436	deoxyribonuclease TATDN1
Breviolum129658	3'5'-cyclic nucleotide phosphodiesterase
Breviolum133348	PFAM Inositol monophosphatase
Breviolum24596	Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
Breviolum271090	protein ubiquitination
Breviolum75608	magnesium ion export from mitochondrion
Breviolum310934	Methyltransferase domain
Breviolum80334	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum75114	Phosphoribosylglycinamide synthetase. Source PGD
Breviolum157904	Endonuclease/Exonuclease/phosphatase family
Breviolum188349	ubiquitin thioesterase
Breviolum242832	Phosphoglucomutase. Source PGD
Breviolum113587	Chloroplast stem-loop binding protein of 41 kDa b
Breviolum52515	protein-arginine omega-N asymmetric methyltransferase activity
Breviolum89236	Cold shock protein domain
Breviolum178170	Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis
Breviolum57808	RING-H2 finger protein
Breviolum218898	GTP binding
Breviolum66134	protein serine/threonine kinase activity
Breviolum138006	-
Breviolum12725	elongation factor Tu GTP binding domain-containing protein
Breviolum50598	Cytidylyltransferase-like
Breviolum311016	Cytochrome b5
Breviolum306040	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Breviolum59048	Subunit of the adaptor protein complex 2 (AP-2). Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways. Adaptor protein complexes are vesicle coat components and appear to be involved in cargo selection and vesicle formation. AP-2 is involved in clathrin-dependent endocytosis in which cargo proteins are incorporated into vesicles surrounded by clathrin (clathrin-coated vesicles, CCVs) which are destined for fusion with the early endosome
Breviolum83568	COG1760 L-serine deaminase
Breviolum137677	Responsible for synthesis of pseudouridine from uracil
Breviolum46147	Galactose oxidase, central domain
Breviolum176461	PFAM fumarylacetoacetate (FAA) hydrolase
Breviolum47244	NADPHX epimerase activity
Breviolum146534	ATP binding
Breviolum172281	DUF1479 domain protein
Breviolum247560	PDZ domain (Also known as DHR or GLGF)
Breviolum277220	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
Breviolum126326	microtubule motor activity
Breviolum174805	-
Breviolum253446	bile acid:sodium symporter activity
Breviolum75400	Ankyrin repeats (many copies)
Breviolum79792	Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate
Breviolum244642	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Breviolum57628	N-terminal Xaa-Pro-Lys N-methyltransferase 1
Breviolum39864	GTPase activator activity
Breviolum208659	FAD linked oxidase domain protein
Breviolum219131	ATP-dependent microtubule motor activity, minus-end-directed
Breviolum146270	Belongs to the glycosyl hydrolase 3 family
Breviolum248760	potassium ion transmembrane transporter activity
Breviolum58950	homolog, subfamily B, member 8
Breviolum210663	adenosine-phosphate deaminase activity
Breviolum207883	RNA uridylyltransferase activity
Breviolum274033	ATPase activator activity
Breviolum117309	Belongs to the heat shock protein 70 family
Breviolum205175	fructose 1,6-bisphosphate 1-phosphatase activity
Breviolum125383	It is involved in the biological process described with regulation of transcription, DNA-templated
Breviolum158220	peptidyl-prolyl cis-trans isomerase activity
Breviolum24558	voltage-gated chloride channel activity
Breviolum253872	snRNP Sm proteins
Breviolum45013	Belongs to the FPP GGPP synthase family
Breviolum508	CHORD
Breviolum175701	threonine-type endopeptidase activity
Breviolum156940	Alpha/beta hydrolase family
Breviolum9953	ER lumen protein retaining receptor
Breviolum86200	AAA domain
Breviolum172850	Multicopper oxidase
Breviolum109619	Belongs to the peptidase C2 family
Breviolum20920	Exostosin family
Breviolum145914	arginine transport
Breviolum16966	EF-hand, calcium binding motif
Breviolum68265	3-beta-hydroxy-delta5-steroid dehydrogenase activity
Breviolum62067	RNA N1-methyladenosine dioxygenase activity
Breviolum179442	Belongs to the ubiquitin-conjugating enzyme family
Breviolum205820	YGGT family
Breviolum121540	Cell division protein 48 (CDC48) N-terminal domain
Breviolum242528	mRNA cap-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. In the eIF-3 complex, eif3d specifically recognizes and binds the 7-methylguanosine cap of a subset of mRNAs
Breviolum153117	Belongs to the TPP enzyme family
Breviolum38201	phosphoacetylglucosamine mutase activity
Breviolum82815	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
Breviolum93452	phosphoesterases, related to the Icc protein
Breviolum279825	Belongs to the rubredoxin family
Breviolum84739	Heat shock protein DnaJ domain protein
Breviolum69808	oxidation-reduction process
Breviolum76365	water channel activity
Breviolum209119	DNA binding
Breviolum61402	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage
Breviolum310175	Calcineurin-like phosphoesterase
Breviolum239584	negative regulation of transcription by RNA polymerase II
Breviolum129310	K02A2.6-like
Breviolum106861	RNA recognition motif 2
Breviolum78572	Pfam Adenylate and Guanylate cyclase catalytic domain
Breviolum155859	N,N-dimethylaniline monooxygenase activity
Breviolum58904	Seryl-tRNA synthetase
Breviolum28179	Sporangia induced mitogen-activated protein kinase. Source PGD
Breviolum334719	Sas10 C-terminal domain
Breviolum173197	Isochorismatase family
Breviolum83570	PPPDE putative peptidase domain
Breviolum32703	Kinase domain
Breviolum66827	protein-arginine N5-methyltransferase activity
Breviolum58694	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication
Breviolum17500	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity
Breviolum55194	Haloacid dehalogenase-like hydrolase
Breviolum23442	RNA-binding protein mei2 homologue
Breviolum420	Chlorophyll A-B binding protein
Breviolum82247	peptidyl-asparagine hydroxylation
Breviolum83933	FKBP-type peptidyl-prolyl cis-trans isomerase
Breviolum95012	Chlorophyll A-B binding protein
Breviolum21992	nucleotide phosphatase activity, acting on free nucleotides
Breviolum226610	N-acetylgalactosaminyltransferase 7
Breviolum65806	Tetratricopeptide repeat domain containing protein
Breviolum13269	Belongs to the protein kinase superfamily
Breviolum239179	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Breviolum222977	Photosystem II Pbs27
Breviolum95339	DNA repair family protein
Breviolum247362	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
Breviolum41875	Nitronate monooxygenase
Breviolum15424	Sucrose transport protein
Breviolum69217	ATP-dependent protein binding
Breviolum151042	protein kinase activity
Breviolum210447	WD domain, G-beta repeat
Breviolum177950	Phytanoyl-CoA dioxygenase (PhyH)
Breviolum40094	Phytochelatin synthase
Breviolum69382	glycoside hydrolase family 2 immunoglobulin domain protein beta-sandwich
Breviolum102976	26s proteasome non-ATPase regulatory subunit
Breviolum86954	Tubulin-tyrosine ligase family
Breviolum177908	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Breviolum113351	Purple acid phosphatase
Breviolum44251	FAD binding domain of DNA photolyase
Breviolum8337	Mitochondrial carrier protein
Breviolum125797	helicase superfamily c-terminal domain
Breviolum72986	CGMP-dependent protein kinase. Source PGD
Breviolum240169	antiporter activity
Breviolum60131	FGFR1 oncogene partner
Breviolum1185	protein deacetylase activity
Breviolum209785	Source PGD
Breviolum61420	cGMP-dependent protein kinase 1
Breviolum25371	histone demethylase activity (H3-K4 specific)
Breviolum57565	domain in TBC and LysM domain containing proteins
Breviolum237173	protein kinase activity
Breviolum64574	KR domain
Breviolum44611	Glucokinase
Breviolum213766	Dehydrogenase
Breviolum139693	Belongs to the DHHC palmitoyltransferase family
Breviolum86792	Peptidase family C69
Breviolum150294	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42
Breviolum16559	homolog subfamily A member 4
Breviolum282363	positive regulation of catalytic activity in other organism involved in symbiotic interaction
Breviolum16060	dynein light chain binding
Breviolum252486	PFAM histone deacetylase superfamily
Breviolum110747	Ammonium transporter
Breviolum143644	voltage-gated potassium channel activity
Breviolum67293	Thioredoxin
Breviolum85752	Protein kinase domain
Breviolum93735	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis
Breviolum14802	cysteine desulfurase activity
Breviolum128308	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Breviolum57879	Cytidylyltransferase-like
Breviolum38263	Serine threonine protein kinase
Breviolum154062	serine threonine-protein phosphatase
Breviolum158056	bile acid:sodium symporter activity
Breviolum64941	ABC1 family
Breviolum174201	Bifunctional methylthioribulose-1-phosphate dehydratase enolase-phosphatase E1
Breviolum17456	pfkB family carbohydrate kinase
Breviolum56477	Potassium voltage-gated channel subfamily A member 5
Breviolum86222	Formate/nitrite transporter
Breviolum207862	RNA 3'-terminal phosphate cyclase
Breviolum56971	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
Breviolum159958	chitobiosyldiphosphodolichol beta-mannosyltransferase activity
Breviolum138584	pre-mRNA-processing-splicing factor
Breviolum67717	Peroxiredoxin 6
Breviolum56393	impB/mucB/samB family C-terminal domain
Breviolum31979	Glycosyltransferase family 66 protein
Breviolum176635	Responsible for synthesis of pseudouridine from uracil
Breviolum124667	GTP binding
Breviolum65387	Ribosomal protein S8e
Breviolum76435	Protein tyrosine kinase
Breviolum318838	Calmodulin
Breviolum172569	Enoyl-CoA hydratase
Breviolum37747	IMP dehydrogenase activity
Breviolum130329	Belongs to the class-I aminoacyl-tRNA synthetase family
Breviolum140954	Ras of Complex, Roc, domain of DAPkinase
Breviolum16729	Membrane-associated ring finger (C3HC4) 7
Breviolum30475	ADP-L-glycero-beta-D-manno-heptose biosynthetic process
Breviolum90248	Protein tyrosine kinase
Breviolum16230	DNA-directed RNA
Breviolum274801	RNA-binding protein mei2 homologue
Breviolum149923	steroid binding
Breviolum73071	Its function is described as protein serine threonine kinase activity, protein kinase activity, kinase activity, ATP binding
Breviolum76670	mitochondrial
Breviolum39740	1,4-alpha-glucan branching enzyme activity
Breviolum105960	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)
Breviolum107887	Sigma factor PP2C-like phosphatases
Breviolum241600	Oxidoreductase
Breviolum125768	Formamidopyrimidine-DNA glycosylase
Breviolum80265	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Breviolum66943	It is involved in the biological process described with autophagy
Breviolum282137	Glycosyl transferase family 8
Breviolum59896	beta-lactamase
Breviolum36441	Belongs to the peptidase C2 family
Breviolum20740	protein transport
Breviolum181949	Tubulin tyrosine ligase-like family, member 11
Breviolum56597	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Breviolum86198	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Breviolum397	NOP2 Sun RNA methyltransferase family member 5
Breviolum16908	Peptidase family M48
Breviolum209309	homologous recombination
Breviolum130397	Aminotransferase class-III
Breviolum311385	fructose 1,6-bisphosphate 1-phosphatase activity
Breviolum86263	Diacylglycerol kinase iota
Breviolum321268	P-loop containing nucleoside triphosphate hydrolase protein
Breviolum91138	COG1112 Superfamily I DNA and RNA helicases and helicase subunits DNA replication, recombination, and repair and Cleavage and polyadenylation specificity factor (CPSF) Clipper subunit and related makorin family Zn-finger proteins
Breviolum247522	ATP-dependent microtubule motor activity, minus-end-directed
Breviolum106773	Na+/Pi-cotransporter
Breviolum100987	PFAM major facilitator superfamily MFS_1
Breviolum31315	Phosphatidylserine decarboxylase
Breviolum110582	Belongs to the glycosyl hydrolase 31 family
Breviolum84888	ligase 1
Breviolum272732	CobN/Magnesium Chelatase
Breviolum91942	Lysine methyltransferase
Breviolum209088	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Breviolum281829	microtubule motor activity
Breviolum67002	Plays a complex role in regulating the basal catalytic activity of the alpha subunit
Breviolum68412	aTP-binding cassette, sub-family B
Breviolum101106	Alanyl-tRNA synthetase, mitochondrial. Source PGD
Breviolum72936	2-aminoadipate transaminase activity
Breviolum371	Acetyl-coenzyme A synthetase N-terminus
Breviolum160564	belongs to the protein kinase superfamily
Breviolum276410	FKBP-type peptidyl-prolyl cis-trans isomerase
Breviolum136847	carbohydrate transport
Breviolum1203	Ring finger domain
Breviolum76426	DnaJ-class molecular chaperone with C-terminal Zn finger domain
Breviolum320719	Papain family cysteine protease
Breviolum187128	cilium assembly
Breviolum104049	Fructose-bisphosphate aldolase class-II
Breviolum173496	Acetyl-CoA carboxylase, central region
Breviolum92319	Myb-like DNA-binding domain
Breviolum40769	ribonuclease T2 activity
Breviolum78859	N-terminal domain of galactosyltransferase
Breviolum17146	amidohydrolase
Breviolum51923	GIY-YIG catalytic domain
Breviolum39701	Nfx1-type zinc finger-containing protein
Breviolum40990	fumarylacetoacetase activity
Breviolum155802	exonuclease activity
Breviolum11998	oxidoreductase activity
Breviolum274514	Belongs to the FPP GGPP synthase family
Breviolum18879	ERAP1-like C-terminal domain
Breviolum16295	Linear amide C-N hydrolases, choloylglycine hydrolase family
Breviolum282486	peptidyl-prolyl isomerase
Breviolum140692	Ecto-NOX disulfide-thiol exchanger
Breviolum31774	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
Breviolum172965	Protease, serine, 16 (thymus)
Breviolum158735	tRNA methyltransferase activity
